date,league,home_team,away_team,actual_result,market_pred,market_confidence,xgb_pred,xgb_confidence,market_margin,poisson_home_xg,poisson_away_xg,poisson_total_xg,poisson_draw_signal
2025-12-14,Bundesliga,Bayern Munich,Mainz,D,H,0.8498633802199481,H,0.9551745,0.7534299722938436,3.2951828544030763,0.7786392353763898,4.073822089779466,2.5165436190266863
2025-03-08,Bundesliga,Bayern Munich,Bochum,A,H,0.8386561181377533,H,0.90191185,0.7347960251769166,3.2492353650142007,0.8713704550431008,4.1206058200573015,2.3778649099711
2025-04-23,Premier League,Arsenal,Crystal Palace,D,H,0.6957460949610943,H,0.8965253,0.5068662189066775,2.273595549317384,0.7675265955657935,3.041122144883177,1.5060689537515903
2026-01-31,Bundesliga,Hamburg,Bayern Munich,D,A,0.7607708533953271,A,0.863016,0.6220464547924635,1.104024850330151,3.105542894158436,4.209567744488587,2.001518043828285
2025-04-12,Bundesliga,Leverkusen,Union Berlin,D,H,0.7224965573000859,H,0.8472035,0.5442943329439314,2.2803685674371525,0.7954312026616781,3.075799770098831,1.4849373647754744
2025-08-24,Serie A,Atalanta,Pisa,D,H,0.6970985205681208,H,0.8459931,0.512483223162343,2.335818260862696,0.8155558803432569,3.151374141205953,1.5202623805194393
2025-02-22,Premier League,Arsenal,West Ham,A,H,0.7619787043509345,H,0.84430957,0.6119924084266943,2.5081551580298305,0.797503576195435,3.3056587342252657,1.7106515818343955
2025-03-01,Serie A,Atalanta,Venezia,D,H,0.7959918224222725,H,0.84028566,0.6632511592406976,2.6530407174632127,0.7870202635497818,3.4400609810129943,1.8660204539134309
2025-11-08,Bundesliga,Union Berlin,Bayern Munich,D,A,0.8046252885893157,A,0.83944446,0.6857177421560781,0.8530573295449333,2.6200990741867978,3.473156403731731,1.7670417446418645
2026-01-07,Serie A,Napoli,Verona,D,H,0.7207372075442363,H,0.83642024,0.5504199285334135,2.2208578578587,0.7832392534368849,3.004097111295585,1.4376186044218153
2025-05-10,Premier League,Southampton,Man City,D,A,0.8013415514690659,A,0.83044237,0.6834331449860184,0.8893329843707042,2.553925420537311,3.4432584049080153,1.6645924361666071
2026-03-02,La Liga,Real Madrid,Getafe,A,H,0.7483819945733032,H,0.83024913,0.5884406994490079,2.386776265810009,0.7869878401753873,3.1737641059853963,1.5997884256346215
2026-01-17,Premier League,Liverpool,Burnley,D,H,0.7809887305257239,H,0.8268826,0.6424624375130911,2.510829496024367,0.7427966370670108,3.253626133091378,1.7680328589573562
2025-08-31,Serie A,Inter,Udinese,A,H,0.7398387790830848,H,0.81148964,0.5746507361638793,2.38721034280022,0.833111059828091,3.220321402628311,1.5540992829721287
2025-10-25,Premier League,Chelsea,Sunderland,A,H,0.7147216211638759,H,0.8051752,0.5327930419781526,2.265751521184769,0.7987156837237607,3.0644672049085298,1.4670358374610082
2025-02-08,Ligue 1,Lille,Le Havre,A,H,0.7256622685417189,H,0.7988279,0.5566285409925125,2.3731369642535016,0.8661528912638372,3.239289855517339,1.5069840729896644
2025-02-15,La Liga,Ath Madrid,Celta,D,H,0.694386032227313,H,0.79468316,0.5013682997746227,2.2888193516411484,0.8565793739156476,3.145398725556796,1.4322399777255006
2025-12-07,La Liga,Real Madrid,Celta,A,H,0.7454157995121151,H,0.79163283,0.5845946210792872,2.6742637086928647,0.7596487434820922,3.433912452174957,1.9146149652107725
2025-12-03,Premier League,Liverpool,Sunderland,D,H,0.7094798867640757,H,0.7885122,0.5333207510368865,2.2796520569212984,0.8165743537528264,3.0962264106741246,1.463077703168472
2026-01-24,Bundesliga,Bayern Munich,Augsburg,A,H,0.847996139959117,H,0.7884364,0.7520813473091649,3.5372635638129184,0.92220037771033,4.459463941523248,2.6150631861025886
2025-10-29,Ligue 1,Lorient,Paris SG,D,A,0.7774959813801436,A,0.78823906,0.6453011547303033,1.0043844699927162,2.786183442675137,3.790567912667853,1.7817989726824206
2026-04-18,Bundesliga,Leverkusen,Augsburg,A,H,0.6970985205681208,H,0.78520256,0.512483223162343,2.533909294143415,1.006392090311279,3.5403013844546942,1.5275172038321359
2026-02-18,Premier League,Wolves,Arsenal,D,A,0.7625040881729397,A,0.783097,0.6144151866351152,0.8522397836314285,2.4993112809582088,3.3515510645896374,1.6470714973267802
2025-03-08,Bundesliga,Leverkusen,Werder Bremen,A,H,0.7624237320084981,H,0.7820463,0.6104502677558122,2.5014679746046453,0.7393060871816369,3.2407740617862824,1.7621618874230083
